Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,100n,C_0402_1005Metric,13.739,1.9812,180.0,top
C4,2.2u,C_0402_1005Metric,7.2136,11.8364,0.0,top
C5,2.2u,C_0402_1005Metric,5.1308,1.8288,0.0,top
C6,2.2u,C_0402_1005Metric,4.9784,5.6388,-90.0,top
C7,2.2u,C_0402_1005Metric,11.8872,1.016,0.0,top
C8,100n,C_0402_1005Metric,13.739,4.318,0.0,top
C9,2.2u,C_0402_1005Metric,13.716,1.016,180.0,top
C10,2.2u,C_0402_1005Metric,5.2324,16.764,0.0,top
C11,100n,C_0402_1005Metric,7.216,14.351,0.0,top
C12,100n,C_0402_1005Metric,7.2342,9.906,0.0,top
C13,"22uF, 25V",C_1206_3216Metric,12.954,14.0208,180.0,bottom
C14,"22uF, 25V",C_1206_3216Metric,16.6624,8.3312,270.0,bottom
C15,100n,C_0402_1005Metric,7.216,12.827,0.0,top
C16,100n,C_0402_1005Metric,7.2366,8.2804,0.0,top
C17,"22uF, 25V",C_1206_3216Metric,12.954,16.0528,180.0,bottom
C18,"22uF, 25V",C_1206_3216Metric,12.954,4.4196,180.0,bottom
C19,100n,C_0402_1005Metric,16.5608,7.4168,180.0,top
C20,100n,C_0402_1005Metric,16.5608,11.7856,180.0,top
C21,"22uF, 25V",C_1206_3216Metric,16.6624,13.0048,90.0,bottom
C22,"22uF, 25V",C_1206_3216Metric,12.954,6.5024,180.0,bottom
C23,10uf,C_0603_1608Metric,0.7112,12.4128,90.0,top
C24,10uf,C_0603_1608Metric,0.7112,9.6696,-90.0,top
C26,100n,C_0402_1005Metric,13.739,5.9436,180.0,top
C27,2.2u,C_0402_1005Metric,11.8672,5.9436,0.0,top
C28,100n,C_0402_1005Metric,3.9624,11.938,0.0,bottom
D1,GREEN,LED_0402_1005Metric,1.293,5.159,0.0,top
D2,RED,LED_0402_1005Metric,1.293,6.096,0.0,top
D3,1N5819,D_SOD-323,5.0292,10.1092,-90.0,top
J1,CON,PinHeader_1x04_P2.00mm_Vertical,10.0,18.4492,-90.0,top
J2,SWD,PinHeader_1x04_P1.00mm_Vertical,5.6628,0.7112,-90.0,top
J3,MOTOR,PinHeader_1x04_P2.00mm_Vertical,19.05,11.176,180.0,top
L1,22uH,L_Taiyo-Yuden_MD-3030,2.8448,10.0252,-90.0,top
NTC1,NTC 10k,R_0402_1005Metric,11.8872,6.7056,180.0,top
R1,1k,R_0402_1005Metric,3.156,5.159,0.0,top
R2,1k,R_0402_1005Metric,3.156,6.096,0.0,top
R3,10k,R_0402_1005Metric,13.739,2.7582,180.0,top
R4,10k,R_0402_1005Metric,11.8872,1.9812,0.0,top
R5,0Ω,R_0402_1005Metric,13.739,3.53,0.0,top
R6,1k,R_0402_1005Metric,7.216,15.113,0.0,top
R7,1k,R_0402_1005Metric,7.2366,10.668,0.0,top
R8,1k,R_0402_1005Metric,7.216,13.589,0.0,top
R9,1k,R_0402_1005Metric,7.2366,9.0932,0.0,top
R10,0.1Ω,R_0805_2012Metric,17.272,14.224,90.0,top
R11,0.1Ω,R_0805_2012Metric,17.272,9.906,90.0,top
R12,200k,R_0402_1005Metric,0.7112,14.648,90.0,top
R13,33k,R_0402_1005Metric,2.286,15.1892,0.0,top
R14,100k,R_0402_1005Metric,4.0132,15.1892,0.0,top
R15,10k,R_0402_1005Metric,13.739,6.7056,180.0,top
R16,1k,R_0402_1005Metric,13.739,5.1816,180.0,top
R17,3.3k,R_0402_1005Metric,11.8872,5.1816,0.0,top
R18,120R,R_0402_1005Metric,7.2136,16.764,180.0,top
R19,4.7k,R_0402_1005Metric,1.3208,7.874,0.0,top
R20,4.7k,R_0402_1005Metric,1.3208,7.0612,180.0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,17.272,5.6388,0.0,top
U1,MT6816,SOP-8_3.76x4.96mm_P1.27mm,10.0,10.0,180.0,bottom
U2,GD32F150G8U6TR,QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm,8.509,3.8608,180.0,top
U3,TB67H450FNG,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,12.063,14.859,0.0,top
U4,TB67H450FNG,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,12.065,9.779,0.0,top
U5,TX4137,SOT-23-6,3.175,13.2764,180.0,top
U6,SP3485EP,SOIC-8_3.9x4.9mm_P1.27mm,2.5908,7.9248,90.0,bottom
